Ticker,Recommend.Other,Recommend.All,Recommend.MA,RSI,RSI[1],Stoch.K,Stoch.D,Stoch.K[1],Stoch.D[1],CCI20,CCI20[1],ADX,ADX+DI,ADX-DI,ADX+DI[1],ADX-DI[1],AO,AO[1],Mom,Mom[1],MACD.macd,MACD.signal,Rec.Stoch.RSI,Stoch.RSI.K,Rec.WR,W.R,Rec.BBPower,BBPower,Rec.UO,UO,close,EMA5,SMA5,EMA10,SMA10,EMA20,SMA20,EMA30,SMA30,EMA50,SMA50,EMA100,SMA100,EMA200,SMA200,Rec.Ichimoku,Ichimoku.BLine,Rec.VWMA,VWMA,Rec.HullMA9,HullMA9,Pivot.M.Classic.S3,Pivot.M.Classic.S2,Pivot.M.Classic.S1,Pivot.M.Classic.Middle,Pivot.M.Classic.R1,Pivot.M.Classic.R2,Pivot.M.Classic.R3,Pivot.M.Fibonacci.S3,Pivot.M.Fibonacci.S2,Pivot.M.Fibonacci.S1,Pivot.M.Fibonacci.Middle,Pivot.M.Fibonacci.R1,Pivot.M.Fibonacci.R2,Pivot.M.Fibonacci.R3,Pivot.M.Camarilla.S3,Pivot.M.Camarilla.S2,Pivot.M.Camarilla.S1,Pivot.M.Camarilla.Middle,Pivot.M.Camarilla.R1,Pivot.M.Camarilla.R2,Pivot.M.Camarilla.R3,Pivot.M.Woodie.S3,Pivot.M.Woodie.S2,Pivot.M.Woodie.S1,Pivot.M.Woodie.Middle,Pivot.M.Woodie.R1,Pivot.M.Woodie.R2,Pivot.M.Woodie.R3,Pivot.M.Demark.S1,Pivot.M.Demark.Middle,Pivot.M.Demark.R1,open,P.SAR,BB.lower,BB.upper,AO[2],volume,change,low,high,change_after_hour
MOEX:ABIO,-0.36363636363636365,-0.6484848484848484,-0.9333333333333333,35.46701714260145,40.17024914110847,3.8882644352857554,9.300000900771312,7.557203236641686,15.703717823902194,-148.13083383976567,-111.45159459765325,27.21599318177806,22.194938355794047,26.640531714086414,24.87006389404287,23.99723073621003,-0.12352941176459353,0.16747058823536065,-2.280000000000001,-1.960000000000008,-0.1124957236256563,0.1321270718411851,0,1.6579330501069005e-14,0,-98.72611464968179,0,-1.8292318441307458,0,38.417641564784034,110.88,111.88376053261219,112.15199999999996,112.3476220246377,112.67200000000011,112.5319768108458,112.8129999999999,112.54015490806208,112.49066666666667,112.579815791804,112.27639999999994,112.85179882373333,112.72420000000004,112.81819294660338,113.93810000000005,0,114.42,-1,113.93777568140095,-1,111.42451851851854,99.11333333333334,106.49333333333334,109.74666666666667,113.87333333333333,117.12666666666667,121.25333333333333,128.63333333333333,106.49333333333334,109.31249333333334,111.05417333333334,113.87333333333333,116.69249333333333,118.43417333333333,121.25333333333333,110.9705,111.647,112.3235,113.87333333333333,113.6765,114.353,115.0295,102.05000000000001,106.33500000000001,109.43,113.715,116.81,121.095,124.19,111.81,114.905,119.19,111.68,117.62176000000001,110.89282188324161,114.7331781167582,0.3602352941177429,139720,-0.6451612903225797,110.84,112.24,0.3597769382982474
MOEX:ABRD,0.18181818181818182,0.5575757575757576,0.9333333333333333,70.43307316630587,43.417618024080944,51.997578692494336,43.2161241144296,33.73015873015918,40.729064039409245,375.0850918991745,-40.248514316610354,17.565208333984547,41.93060094140594,8.174276216383612,24.1142498810954,11.666258266927564,-0.135882352941735,-0.9805882352946469,8.800000000000011,-0.7999999999999545,0.10952445021553103,-0.5737469674664746,0,80.49022257079243,0,-11.864406779660813,0,6.379990505573005,0,60.61342797988767,301.8,296.036767268836,295.0400000000003,294.76924082913496,293.84000000000003,294.37592633126445,293.53999999999985,294.5620318460611,294.34,295.0645993713987,295.4480000000004,294.9574529800117,296.638,290.8332667388407,293.79500000000024,0,296.79999999999995,1,296.25250556457917,1,295.8955555555556,275.9333333333332,285.13333333333327,289.0666666666666,294.3333333333333,298.26666666666665,303.53333333333336,312.7333333333334,285.13333333333327,288.6477333333333,290.8189333333333,294.3333333333333,297.84773333333334,300.01893333333334,303.53333333333336,290.46999999999997,291.31333333333333,292.15666666666664,294.3333333333333,293.84333333333336,294.68666666666667,295.53000000000003,279.9999999999999,285.19999999999993,289.19999999999993,294.4,298.4,303.6,307.6,287.1,293.35,296.30000000000007,292.8,290.66136,289.4841893535116,297.5958106464881,-1.2176470588241273,183020,3.1442241968557716,292.2,303.2,-0.13306719893547375
MOEX:AFKS,-0.18181818181818182,-0.49090909090909096,-0.8,40.58780397413549,43.57181695453243,23.78488594367293,35.44535348927748,34.97977150377281,47.27008352156465,-54.623085983510904,-21.637259374789185,19.87671696591831,14.889578591928037,30.041304851737344,15.762296978255517,28.969159694602503,0.021191176470583883,0.04508235294117213,-0.45200000000000173,-0.3879999999999981,-0.005498530294875792,0.017589941257181645,0,-1.5395092608135503e-14,0,-84.28351309707239,0,-0.22133149220689674,0,45.89268840328641,25.502,25.59169714528728,25.60319999999996,25.64267351638108,25.69109999999997,25.652676844275465,25.659350000000007,25.657570116798784,25.584266666666714,25.683918289651373,25.66303999999998,25.709818713803926,25.74604000000001,25.44138255079499,25.80372000000001,0,25.5995,-1,25.68120194283978,-1,25.517233333333337,23.271333333333327,24.51133333333333,25.112666666666662,25.75133333333333,26.352666666666664,26.991333333333333,28.231333333333335,24.51133333333333,24.98501333333333,25.27765333333333,25.75133333333333,26.225013333333333,26.51765333333333,26.991333333333333,25.372999999999998,25.486666666666665,25.60033333333333,25.75133333333333,25.827666666666666,25.941333333333333,26.055,23.79,24.47,25.03,25.71,26.270000000000003,26.950000000000003,27.510000000000005,24.811999999999998,25.601,26.052,25.57,26.0232996,25.304814092085373,26.01388590791464,0.07602941176470068,1477800,-0.23472341757296875,25.48,25.6,0.1485477502834145
MOEX:AFLT,-0.09090909090909091,-0.5121212121212121,-0.9333333333333333,42.045865684168255,48.06224973734574,52.24897449616594,60.80390994411537,64.28691619947142,64.18859033335512,-1.9627749576889353,48.233486943175116,31.737305042094583,25.95536335440394,16.844297656951156,28.722742615113297,15.834440477773585,-0.08755882352944155,-0.12667647058826503,0.07000000000000028,0.3400000000000034,-0.11804974210533459,-0.17138962517768175,0,74.77465453269336,0,-74.15730337078608,-1,-0.01272181771008718,0,43.099777879250794,50.14,50.29538468353053,50.318,50.291712858869836,50.29199999999999,50.345898973258215,50.23449999999999,50.45807634697959,50.365666666666584,50.64364074832115,50.804199999999994,50.73156234945843,51.08830000000002,50.342330936488665,50.33575,0,50.239999999999995,-1,50.15720669294141,-1,50.36562962962963,45.70333333333334,48.20333333333334,49.22666666666668,50.70333333333334,51.72666666666668,53.20333333333334,55.70333333333334,48.20333333333334,49.15833333333334,49.74833333333334,50.70333333333334,51.65833333333334,52.24833333333334,53.20333333333334,49.5625,49.791666666666664,50.020833333333336,50.70333333333334,50.479166666666664,50.708333333333336,50.9375,46.50000000000001,48.09,49.00000000000001,50.59,51.50000000000001,53.09,54.00000000000001,48.714999999999996,50.4475,51.214999999999996,50.35,49.96823475345707,49.802644700135225,50.666355299864755,-0.16041176470591978,647220,-0.4763795156808297,50.1,50.48,0.17906884202149506
MOEX:AGRO,0.09090909090909091,-0.08787878787878788,-0.26666666666666666,46.73752349549435,46.73752349549435,62.39233419465961,47.90340268343133,48.41886660095708,33.97881018555511,-14.353336387256585,-25.940008449532833,15.817109299448726,21.7815385612429,23.3016872359357,22.23228556359931,23.78389218403489,-12.432352941178351,-14.312352941178233,0.40000000000009095,-4.7999999999999545,-4.270584485572954,-4.769648583758317,0,100,0,-34.88372093023262,-1,1.6685707123674547,0,66.64245867694231,1553,1550.5950483220106,1549.440000000001,1550.3537464921858,1547.2000000000005,1553.4310716455313,1553.8599999999983,1556.0637801581956,1560.46666666667,1557.8599329694314,1561.0199999999998,1548.2443572005366,1564.8639999999996,1521.6376489326374,1506.2810000000009,0,1558.6,-1,1554.4522293884404,-1,1553.7162962962964,1429.8666666666666,1494.6666666666665,1519.933333333333,1559.4666666666665,1584.733333333333,1624.2666666666664,1689.0666666666664,1494.6666666666665,1519.4202666666665,1534.7130666666665,1559.4666666666665,1584.2202666666665,1599.5130666666664,1624.2666666666664,1527.38,1533.3200000000002,1539.26,1559.4666666666665,1551.14,1557.08,1563.02,1443.3999999999999,1488.8,1508.1999999999998,1553.6,1572.9999999999998,1618.3999999999999,1637.7999999999997,1507.2999999999997,1553.1499999999999,1572.0999999999997,1553,1566.4078124919188,1538.1587389035565,1569.5612610964401,-16.184117647060475,6240,0,1551,1553,0.14104372355430475
MOEX:AKRN,0.18181818181818182,0.22424242424242424,0.26666666666666666,52.07571732137381,50.70925594909596,22.49692950135101,20.30500286579873,19.20903954802259,19.161958568738225,56.105610561057055,72.87955497219521,30.556223290905205,32.57847893874155,18.388633482227533,33.605476632988385,18.793180958663246,12.935294117647572,4.005882352939807,58,10,0.6729835756341345,-5.752960155336329,0,87.43177302412961,0,-78.69565217391305,-1,42.817338628818106,0,39.04461350615197,16884,16875.40406583207,16870,16869.31388848191,16875.8,16864.581280777373,16849.4,16869.51880733959,16853.933333333334,16893.972704727246,16880.24,16976.835234983853,16969.36,17137.4727201602,17131.55,0,17010,1,16842.21964097149,1,16873.429629629627,15930.666666666668,16434.666666666668,16631.333333333336,16938.666666666668,17135.333333333336,17442.666666666668,17946.666666666668,16434.666666666668,16627.194666666666,16746.13866666667,16938.666666666668,17131.194666666666,17250.13866666667,17442.666666666668,16689.4,16735.6,16781.8,16938.666666666668,16874.2,16920.4,16966.6,16072,16407,16576,16911,17080,17415,17584,16533,16889.5,17037,16876,17177.3527066624,16781.00000000216,16917.799999997842,9.123529411765048,15,0.07112375533428165,16870,16906,-0.011866619200189867
MOEX:ALRS,-0.18181818181818182,-0.22424242424242424,-0.26666666666666666,38.47214302159007,39.28117998638058,18.92490671641823,20.632341763405485,21.843646351575746,22.526901477461394,-107.25102440763229,-100.2500893176205,20.49816448960908,16.481011222527396,27.565982150970083,17.41902001196665,29.13488670409558,-0.577294117647142,-0.5155882352942172,-0.8499999999999943,-0.7999999999999972,-0.10887792300457022,-0.009198447996914376,0,4.440892098500626e-15,0,-82.08955223880534,0,-0.5640643210352465,0,41.16203187515402,77.4,77.51832128086143,77.50800000000007,77.6646771664459,77.7069999999999,77.80542784616652,77.9079999999999,77.80719495532975,78.07266666666679,77.67002208508819,77.69860000000006,77.32246175079483,77.11230000000005,77.03535053838871,76.68805,0,78.11,-1,77.79692043778115,1,77.35551851851852,72.04666666666667,74.85666666666667,76.24333333333334,77.66666666666667,79.05333333333334,80.47666666666667,83.28666666666668,74.85666666666667,75.93008666666667,76.59324666666667,77.66666666666667,78.74008666666667,79.40324666666667,80.47666666666667,76.85725,77.11483333333332,77.37241666666667,77.66666666666667,77.88758333333332,78.14516666666667,78.40275,73.405,74.8425,76.215,77.6525,79.025,80.4625,81.83500000000001,76.95500000000001,78.02250000000001,79.76500000000001,77.47,78.17965471429528,77.1845748137585,78.6314251862413,-0.4497647058824441,492870,-0.051652892561973196,77.31,77.58,-0.09090909090908206
MOEX:AMEZ,0.2727272727272727,-0.26363636363636367,-0.8,29.48298388055335,23.871947048681463,12.727272727272977,12.923192435387909,10.072150072150551,13.683970066851211,-247.34937863773172,-315.40431759971165,18.059096962035653,12.028109394720534,30.264781371235703,12.66844484686336,31.875974936856267,-0.9264705882352047,-0.717058823529328,-1.3599999999999994,-1.7999999999999972,-0.4182049171761548,-0.2824925060664395,0,8.757525333250571,1,-87.27272727272724,0,-1.8452714662234655,0,31.224514171036677,67.44,67.78517231843936,67.91599999999991,68.14447330133017,68.31399999999998,68.51190376211885,68.65100000000007,68.74394284428672,68.85199999999995,69.09169256283867,69.08760000000008,69.60157185430855,70.0516,69.93096839479158,70.36169999999997,0,68.44,-1,68.26240250696378,1,67.31125925925924,64.6,66.96,67.75999999999999,69.32,70.11999999999999,71.67999999999999,74.03999999999999,66.96,67.86152,68.41847999999999,69.32,70.22152,70.77847999999999,71.67999999999999,67.911,68.12733333333334,68.34366666666666,69.32,68.77633333333334,68.99266666666666,69.209,65.36,66.94,67.72,69.3,70.08,71.66,72.44,67.36000000000001,69.12,69.72000000000001,67.2,69.0983866679663,67.51015995863841,69.79184004136172,-0.5407647058822675,11900,0.3571428571428495,67.2,67.52,-0.08886255924170954
MOEX:APTK,0.09090909090909091,0.045454545454545456,0,51.3060915653401,51.046259731589856,59.91943605236656,59.91428241117982,59.155582855925104,60.64192083171418,42.07048458152325,39.88603988606927,24.44636014750429,23.797223922466056,19.513833957489783,24.380634241344627,19.992233124080595,-0.017182352941155443,-0.03808823529409544,0.14200000000000124,0,-0.020284588027216444,-0.03446999813117635,0,90.77701216636535,0,-41.691842900302035,-1,0.07884379486357851,0,48.6261465557613,14.044,14.02052336131302,14.009999999999996,14.004103217422335,13.979599999999996,14.01203644537184,14.005999999999949,14.032381595566608,14.029000000000002,14.081786184441905,14.058760000000007,14.195778991370203,14.245060000000013,14.33628286464642,14.444360000000003,0,13.989,1,14.008187857353052,-1,14.057407407407409,12.677999999999995,13.319999999999997,13.623999999999995,13.961999999999998,14.265999999999996,14.604,15.246,13.319999999999997,13.565243999999996,13.716755999999997,13.961999999999998,14.207244,14.358756,14.604,13.75145,13.8103,13.869150000000001,13.961999999999998,13.98685,14.045700000000002,14.104550000000001,12.964999999999998,13.311499999999999,13.607,13.9535,14.249,14.595500000000001,14.891000000000002,13.471999999999998,13.886,14.113999999999999,14.052,13.7930853129216,13.859586885814377,14.15241311418552,-0.06334705882350633,23540,0.028490028490038007,14.022,14.064,-0.22805017103762845
MOEX:AQUA,-0.2727272727272727,-0.603030303030303,-0.9333333333333333,41.46762207624988,49.26389403339985,34.46254399195574,49.80945198592258,51.93803418803417,59.294159544159555,-80.30027297543283,1.2639561828521388,36.58096639675352,18.9683904168777,19.95657813124777,21.27007513723646,14.992066374012824,8.955882352941217,11.939705882352882,-21,-8,3.2370388125063982,4.8441036396974475,0,19.24785252684603,0,-91.17647058823529,0,-17.18302961741142,0,44.70062174153123,897,906.2782350520998,908.5,908.5401129441977,911.85,906.718867683008,907.75,904.3809193174734,901.6,901.7336019879754,897.88,901.0582950959262,898.355,905.0486768597605,905.6675,0,905.5,-1,909.0984486023948,-1,905.1296296296296,815.5,861.5,887,907.5,933,953.5,999.5,861.5,879.072,889.928,907.5,925.072,935.928,953.5,899.85,904.0666666666667,908.2833333333333,907.5,916.7166666666667,920.9333333333333,925.15,845.5,863.75,891.5,909.75,937.5,955.75,983.5,897.25,912.625,943.25,904.5,926.5072,890.2014957902337,925.2985042097663,13.380882352941171,31389,-0.8839779005524863,894,905.5,0
