symbol,sell_1d,neutral_1d,buy_1d,recommendation_1d,sell_1h,neutral_1h,buy_1h,recommendation_1h
MOEX:PRFN,2,10,14,BUY,4,9,13,BUY
MOEX:QIWI,14,8,4,SELL,15,10,1,SELL
MOEX:RASP,12,10,4,SELL,15,10,1,SELL
MOEX:RBCM,3,8,15,BUY,4,8,14,BUY
MOEX:RENI,9,9,8,NEUTRAL,14,9,3,SELL
MOEX:RKKE,4,9,13,BUY,11,10,5,SELL
MOEX:RNFT,3,9,14,BUY,11,9,6,SELL
MOEX:ROLO,0,10,16,STRONG_BUY,7,10,9,NEUTRAL
MOEX:ROSN,2,10,14,BUY,10,10,6,SELL
MOEX:RTKM,5,9,12,BUY,9,9,8,NEUTRAL
MOEX:RTKMP,0,10,16,STRONG_BUY,0,10,16,STRONG_BUY
MOEX:RUAL,1,9,16,STRONG_BUY,1,10,15,BUY
MOEX:SBER,1,10,15,BUY,2,9,15,BUY
MOEX:SBERP,3,9,14,BUY,9,10,7,NEUTRAL
MOEX:SELG,1,8,17,STRONG_BUY,4,9,13,BUY
MOEX:SFIN,8,6,12,BUY,16,8,2,SELL
MOEX:SGZH,15,9,2,SELL,16,9,1,STRONG_SELL
MOEX:SIBN,8,9,9,NEUTRAL,0,10,16,STRONG_BUY
MOEX:SMLT,16,9,1,STRONG_SELL,15,10,1,SELL
MOEX:SNGS,1,10,15,BUY,9,10,7,NEUTRAL
MOEX:SNGSP,4,8,14,BUY,11,10,5,SELL
MOEX:SOFL,1,8,15,STRONG_BUY,2,9,15,BUY
MOEX:SPBE,2,10,14,BUY,1,9,16,STRONG_BUY
MOEX:SVAV,2,10,14,BUY,12,10,4,SELL
MOEX:SVCB,9,10,3,SELL,14,10,2,SELL
MOEX:TATN,2,10,14,BUY,0,9,17,STRONG_BUY
MOEX:TATNP,0,11,15,STRONG_BUY,0,10,16,STRONG_BUY
MOEX:TCSG,16,10,0,STRONG_SELL,14,9,3,SELL
MOEX:TGKA,3,9,14,BUY,9,9,8,NEUTRAL
MOEX:TGKB,1,10,15,BUY,5,10,11,BUY
MOEX:TGKBP,6,10,10,BUY,14,9,3,SELL
MOEX:TGKN,3,9,14,BUY,4,9,13,BUY
MOEX:TRMK,3,9,14,BUY,10,10,6,SELL
MOEX:TRNFP,8,10,8,NEUTRAL,14,10,2,SELL
MOEX:TTLK,2,9,15,BUY,10,9,7,NEUTRAL
MOEX:UGLD,0,10,12,STRONG_BUY,1,10,15,BUY
MOEX:UNAC,6,10,10,BUY,12,9,5,SELL
