date,status,kinorium ID,imdb ID,kinopoisk ID
23-05-2021 09:28:00,7,,,1178137
22-05-2021 14:03:00,8,,,77443
21-05-2021 20:45:00,8,,,467553
21-05-2021 16:22:00,7,,,4815
19-05-2021 22:27:00,1,,,563403
19-05-2021 22:26:00,1,,,22290
19-05-2021 22:01:00,4,,,432725
19-05-2021 20:28:00,6,,,543
19-05-2021 00:28:00,8,,,721153
17-05-2021 21:53:00,8,,,252641
16-05-2021 23:58:00,7,,,178579
16-05-2021 00:12:00,7,,,426004
15-05-2021 15:16:00,8,,,403
14-05-2021 22:03:00,6,,,81555
14-05-2021 00:11:00,7,,,81583
12-05-2021 21:54:00,8,,,78753
12-05-2021 00:01:00,9,,,64187
10-05-2021 21:32:00,6,,,616
09-05-2021 21:42:00,8,,,5492
08-05-2021 22:05:00,7,,,46225
07-05-2021 21:05:00,9,,,775273
07-05-2021 16:59:00,8,,,79850
06-05-2021 21:13:00,8,,,160929
02-05-2021 23:05:00,6,,,607
21-04-2021 21:58:00,7,,,939411
11-04-2021 22:49:00,6,,,1109271
27-03-2021 23:47:00,7,,,2950
26-03-2021 19:53:00,8,,,126196
14-03-2021 22:59:00,6,,,1236234
08-03-2021 23:15:00,9,,,596266
07-03-2021 00:00:00,7,,,180577
05-03-2021 00:24:00,7,,,925669
27-02-2021 01:10:00,8,,,413
05-12-2020 15:00:00,7,,,1325574
15-11-2020 23:44:00,8,,,5129
11-10-2020 23:52:00,9,,,301
09-10-2020 23:46:00,6,,,63892
05-10-2020 00:15:00,10,,,5167
18-06-2020 23:14:00,7,,,335
15-06-2020 23:45:00,6,,,78320
14-06-2020 21:56:00,9,,,726838
03-03-2020 13:59:00,6,,,1142604
22-02-2020 01:15:00,8,,,1143242
09-02-2020 23:40:00,7,,,1171976
14-01-2020 22:54:00,6,,,462305
01-01-2020 17:38:00,8,,,1828
01-01-2020 14:35:00,7,,,1078985
14-12-2019 15:27:00,7,,,518214
07-12-2019 23:38:00,9,,,279102
05-11-2019 02:24:00,8,,,1108577
06-10-2019 23:27:00,8,,,1048334
30-09-2019 23:17:00,6,,,591792
16-09-2019 00:58:00,9,,,1043758
21-08-2019 23:31:00,9,,,9691
18-08-2019 23:16:00,7,,,1047883
30-06-2019 22:42:00,5,,,572027
09-03-2019 22:54:00,8,,,1118214
02-02-2019 12:19:00,6,,,232785
24-12-2018 15:05:00,7,,,942396
16-12-2018 01:36:00,7,,,524953
05-12-2018 02:16:00,8,,,586584
02-12-2018 18:35:00,8,,,466
24-11-2018 16:55:00,6,,,1042556
28-10-2018 01:46:00,4,,,414915
30-09-2018 14:01:00,8,,,470656
29-09-2018 15:25:00,7,,,596231
23-09-2018 21:55:00,6,,,358
16-09-2018 15:38:00,7,,,1008385
09-09-2018 22:46:00,7,,,842442
19-07-2018 01:40:00,8,,,1060251
09-02-2018 22:51:00,8,,,944098
05-02-2018 00:46:00,6,,,909700
28-01-2018 22:31:00,8,,,196604
20-01-2018 22:44:00,6,,,656093
02-01-2018 23:34:00,8,,,938643
01-01-2018 16:23:00,8,,,2055
25-12-2017 01:16:00,7,,,9617
26-11-2017 16:52:00,6,,,501958
19-11-2017 22:16:00,6,,,992605
05-11-2017 23:13:00,10,,,341
22-10-2017 11:39:00,4,,,47040
21-10-2017 13:34:00,9,,,760815
14-10-2017 21:45:00,6,,,395049
08-10-2017 19:25:00,6,,,810897
12-09-2017 23:12:00,5,,,569153
12-09-2017 21:00:00,8,,,81598
12-09-2017 20:58:00,5,,,808639
27-08-2017 18:03:00,6,,,842227
09-08-2017 21:36:00,7,,,462682
07-08-2017 16:12:00,9,,,3797
07-08-2017 02:19:00,8,,,630
31-07-2017 21:18:00,8,,,770
26-07-2017 20:45:00,7,,,462606
24-07-2017 19:17:00,7,,,104893
24-07-2017 19:17:00,7,,,262771
24-07-2017 19:17:00,8,,,4385
24-07-2017 19:14:00,6,,,522892
23-07-2017 22:42:00,7,,,779602
18-07-2017 22:05:00,8,,,915111
12-07-2017 18:28:00,6,,,688527
11-07-2017 21:30:00,7,,,542581
09-07-2017 16:15:00,4,,,466397
09-07-2017 15:20:00,5,,,705350
08-07-2017 17:42:00,8,,,7650
04-07-2017 23:42:00,8,,,610319
01-07-2017 13:24:00,7,,,484474
25-06-2017 20:00:00,7,,,932512
22-05-2017 23:11:00,7,,,276295
09-05-2017 01:33:00,8,,,681849
08-05-2017 00:50:00,6,,,395372
27-04-2017 23:19:00,8,,,771793
27-04-2017 00:05:00,9,,,15641
22-04-2017 15:49:00,7,,,86326
22-04-2017 15:49:00,8,,,44386
22-04-2017 15:48:00,8,,,324
30-03-2017 23:00:00,7,,,653696
24-03-2017 00:08:00,8,,,500358
19-03-2017 23:09:00,8,,,398099
14-03-2017 01:09:00,8,,,3793
12-03-2017 00:17:00,4,,,252099
05-03-2017 17:23:00,8,,,84830
04-03-2017 23:39:00,7,,,41520
04-03-2017 22:15:00,7,,,41519
04-02-2017 20:27:00,6,,,13848
12-01-2017 00:13:00,7,,,841152
24-12-2016 15:55:00,8,,,645910
18-12-2016 21:27:00,8,,,922150
03-11-2016 23:31:00,4,,,413362
25-09-2016 02:17:00,4,,,51319
25-09-2016 01:49:00,3,,,663
21-08-2016 15:49:00,7,,,397667
21-08-2016 15:49:00,8,,,453406
21-08-2016 15:49:00,6,,,841335
20-08-2016 19:42:00,5,,,588105
31-07-2016 12:43:00,8,,,522941
31-07-2016 12:43:00,6,,,834394
